Confidence NN B
in IN O
the DT B
pound NN I
is VBZ O
widely RB O
expected VBN O
to TO O
take VB O
another DT B
sharp JJ I
dive NN I
if IN O
trade NN B
figures NNS I
for IN O
September NNP B
, , O
due JJ O
for IN O
release NN B
tomorrow NN B
, , O
fail VB O
to TO O
show VB O
a DT B
substantial JJ I
improvement NN I
from IN O
July NNP B
and CC I
August NNP I
's POS B
near-record JJ I
deficits NNS I
. . O

Chancellor NNP O
of IN O
the DT B
Exchequer NNP I
Nigel NNP O
Lawson NNP O
's POS B
restated VBN I
commitment NN I
to TO O
a DT B
firm NN I
monetary JJ I
policy NN I
has VBZ O
helped VBN O
to TO O
prevent VB O
a DT B
freefall NN I
in IN O
sterling NN B
over IN O
the DT B
past JJ I
week NN I
. . O

But CC O
analysts NNS B
reckon VBP O
underlying VBG B
support NN I
for IN O
sterling NN B
has VBZ O
been VBN O
eroded VBN O
by IN O
the DT B
chancellor NN I
's POS B
failure NN I
to TO O
announce VB O
any DT B
new JJ I
policy NN I
measures NNS I
in IN O
his PRP$ B
Mansion NNP I
House NNP I
speech NN I
last JJ B
Thursday NNP I
. . O

This DT B
has VBZ O
increased VBN O
the DT B
risk NN I
of IN O
the DT B
government NN I
being VBG O
forced VBN O
to TO O
increase VB O
base NN B
rates NNS I
to TO O
16 CD B
% NN I
from IN O
their PRP$ B
current JJ I
15 CD I
% NN I
level NN I
to TO O
defend VB O
the DT B
pound NN I
, , O
economists NNS B
and CC O
foreign JJ B
exchange NN I
market NN I
analysts NNS I
say VBP O
. . O

`` `` O
The DT B
risks NNS I
for IN O
sterling NN B
of IN O
a DT B
bad JJ I
trade NN I
figure NN I
are VBP O
very RB O
heavily RB O
on IN O
the DT B
down JJ I
side NN I
, , O
'' '' O
said VBD O
Chris NNP B
Dillow NNP I
, , O
senior JJ B
U.K. NNP I
economist NN I
at IN O
Nomura NNP B
Research NNP I
Institute NNP I
. . O

`` `` O
If IN O
there EX B
is VBZ O
another DT B
bad JJ I
trade NN I
number NN I
, , O
there EX B
could MD O
be VB O
an DT B
awful JJ I
lot NN I
of IN O
pressure NN B
, , O
'' '' O
noted VBD O
Simon NNP B
Briscoe NNP I
, , O
U.K. NNP B
economist NN I
for IN O
Midland NNP B
Montagu NNP I
, , O
a DT B
unit NN I
of IN O
Midland NNP B
Bank NNP I
PLC NNP I
. . O

Forecasts NNS B
for IN O
the DT B
trade NN I
figures NNS I
range VBP O
widely RB O
, , O
but CC O
few JJ B
economists NNS I
expect VBP O
the DT B
data NNS I
to TO O
show VB O
a DT B
very RB I
marked VBN I
improvement NN I
from IN O
the DT B
# # I
2 CD I
billion CD I
-LRB- ( I
$ $ I
3.2 CD I
billion CD I
-RRB- ) I
deficit NN I
in IN O
the DT B
current JJ I
account NN I
reported VBD O
for IN O
August NNP B
. . O

The DT B
August NNP I
deficit NN I
and CC O
the DT B
# # I
2.2 CD I
billion CD I
gap NN I
registered VBN O
in IN O
